WKT,color
"LINESTRING (10.990780591965 49.467217652233,10.990640994486 49.467259565058)",ff0aff04
"LINESTRING (10.990780591965 49.467217652233,10.990662452157 49.466924884762)",ff0aff04
"LINESTRING (10.990780591965 49.467217652233,10.990710624123 49.467243947026)",ff0aff04
"LINESTRING (11.920686184034 50.309726227797,11.920697633728 50.309767138930)",ff0aff04
"LINESTRING (11.920686184034 50.309726227797,11.920656622240 50.309831557811)",ff0aff04
"LINESTRING (11.920686184034 50.309726227797,11.920712498368 50.309814137687)",ff0aff04
"LINESTRING (10.998186953118 49.463707814345,10.998106998700 49.463686015742)",ff0aff04
"LINESTRING (10.56792754494 50.093549021369,10.566479265682 50.093714748036)",ff79ebff
"LINESTRING (10.56792754494 50.093549021369,10.568053063941 50.093509767116)",ff53acff
"LINESTRING (10.56792754494 50.093549021369,10.568053063941 50.093509767116)",ff0aff04
"LINESTRING (10.56792754494 50.093549021369,10.56795651879 50.093509757894)",ff7cff79
"LINESTRING (10.56792754494 50.093549021369,10.56795651879 50.093509757894)",ff0aff04
"LINESTRING (10.56792754494 50.093549021369,10.566720565257 50.093631607291)",ff7cff79
"LINESTRING (10.56792754494 50.093549021369,10.568013390003 50.093555895082)",ff79ebff
"LINESTRING (10.56792754494 50.093549021369,10.568013390003 50.093555895082)",ff0aff04
"LINESTRING (10.56792754494 50.093549021369,10.566752737393 50.09362473359)",ff0aff04
"LINESTRING (10.566720565257 50.093631607291,10.56795651879 50.093509757894)",ff7cff79
"LINESTRING (10.566720565257 50.093631607291,10.56792754494 50.093549021369)",ff7cff79
"LINESTRING (10.566720565257 50.093631607291,10.568412436833 50.093444406802)",ff79ebff
"LINESTRING (10.566720565257 50.093631607291,10.566752737393 50.09362473359)",ff0aff04
"LINESTRING (11.055852987290 49.446214623155,11.055832553918 49.446179794221)",ff1e1eff
"LINESTRING (11.055852987290 49.446214623155,11.055832553918 49.446179794221)",ff0aff04
"LINESTRING (11.055852987290 49.446214623155,11.055931268830 49.446185319299)",ff0aff04
"LINESTRING (11.055852987290 49.446214623155,11.055853520702 49.446146658295)",ff53acff
"LINESTRING (11.055852987290 49.446214623155,11.055853520702 49.446146658295)",ff0aff04
"LINESTRING (10.828761779265 49.910230128488,10.828742808047 49.910203355343)",ff0aff04
"LINESTRING (10.828761779265 49.910230128488,10.828609164578 49.910264593561)",ff0aff04
"LINESTRING (11.082149942793 49.448860219931,11.082298054000 49.448933363877)",ff0aff04
"LINESTRING (11.082149942793 49.448860219931,11.081777741384 49.448204955863)",ff0aff04
"LINESTRING (11.082149942793 49.448860219931,11.082029869029 49.448727738403)",ff0aff04
"LINESTRING (10.509678060703 50.031500082023,10.509616168251 50.031446485696)",ff53acff
"LINESTRING (10.509678060703 50.031500082023,10.509712821198 50.031443173406)",ff79ebff
"LINESTRING (10.509678060703 50.031500082023,10.512596210265 50.036751556466)",ff7cff79
"LINESTRING (10.509678060703 50.031500082023,10.520334376088 50.035782787925)",ff6a6aff
"LINESTRING (10.568739026210 50.093349199914,10.568053063941 50.093509767116)",ff0aff04
"LINESTRING (10.568739026210 50.093349199914,10.568412436833 50.093444406802)",ff0aff04
"LINESTRING (10.568739026210 50.093349199914,10.568437179027 50.092998374216)",ff0aff04
"LINESTRING (10.568739026210 50.093349199914,10.568013390003 50.093555895082)",ff79ebff
"LINESTRING (10.566752737393 50.09362473359,10.567643579385 50.093910159678)",ff7cff79
"LINESTRING (10.566752737393 50.09362473359,10.56795651879 50.093509757894)",ff79ebff
"LINESTRING (10.566752737393 50.09362473359,10.56792754494 50.093549021369)",ff79ebff
"LINESTRING (10.566752737393 50.09362473359,10.566720565257 50.093631607291)",ff7cff79
"LINESTRING (10.568412436833 50.093444406802,10.568053063941 50.093509767116)",ff7cff79
"LINESTRING (10.568412436833 50.093444406802,10.566720565257 50.093631607291)",ff7cff79
"LINESTRING (10.568412436833 50.093444406802,10.568437179027 50.092998374216)",ff0aff04
"LINESTRING (10.568412436833 50.093444406802,10.568739026210 50.093349199914)",ff0aff04
"LINESTRING (10.568013390003 50.093555895082,10.567643579385 50.093910159678)",ff79ebff
"LINESTRING (10.568013390003 50.093555895082,10.568053063941 50.093509767116)",ff0aff04
"LINESTRING (10.568013390003 50.093555895082,10.568053063941 50.093509767116)",ff0aff04
"LINESTRING (10.568013390003 50.093555895082,10.56795651879 50.093509757894)",ff0aff04
"LINESTRING (10.568013390003 50.093555895082,10.56792754494 50.093549021369)",ff53acff
"LINESTRING (10.568013390003 50.093555895082,10.56792754494 50.093549021369)",ff0aff04
"LINESTRING (10.568013390003 50.093555895082,10.568739026210 50.093349199914)",ff7cff79
"LINESTRING (10.568437179027 50.092998374216,10.56795651879 50.093509757894)",ff4949ff
"LINESTRING (10.568437179027 50.092998374216,10.568412436833 50.093444406802)",ff79ebff
"LINESTRING (10.568437179027 50.092998374216,10.568739026210 50.093349199914)",ff79ebff
"LINESTRING (11.920479895792 50.309827260918,11.920509835977 50.309784071224)",ff0aff04
"LINESTRING (11.920479895792 50.309827260918,11.920656622240 50.309831557811)",ff53acff
"LINESTRING (11.920479895792 50.309827260918,11.920552037651 50.309804473882)",ff0aff04
"LINESTRING (11.920479895792 50.309827260918,11.920552037651 50.309804473882)",ff0aff04
"LINESTRING (10.568053063941 50.093509767116,10.56795651879 50.093509757894)",ff0aff04
"LINESTRING (10.568053063941 50.093509767116,10.56872951646 50.093639112844)",ff0aff04
"LINESTRING (10.568053063941 50.093509767116,10.56792754494 50.093549021369)",ff0aff04
"LINESTRING (10.568053063941 50.093509767116,10.568911894920 50.093722265045)",ff7cff79
"LINESTRING (10.568053063941 50.093509767116,10.568412436833 50.093444406802)",ff0aff04
