lng,lat,status
10.525941,50.139822,offline
11.340223,49.559511,offline
12.876245,47.722455,offline
12.876491,47.722397,offline
12.488864,47.671465,offline
9.942015,49.788808,unknown
10.788091,49.406085,offline
11.073679,49.416972,unknown
11.000646,49.591327,offline
11.073677,49.416949,unknown
11.092324,49.445642,unknown
10.878385,49.874056,offline
10.833539,49.904606,offline
10.527627,50.016878,offline
11.021527,49.592351,unknown
11.002459,49.458602,offline
11.455897,49.296284,offline
11.057572,49.457836,unknown
10.568271,50.092782,offline
11.302936,49.392122,offline
11.920480,50.309827,offline
12.720754,49.386128,unknown
11.449773,49.292383,offline
12.720866,49.385865,unknown
12.876390,47.722300,offline
10.523081,50.138232,unknown
11.028449,49.452113,unknown
9.933486,49.789724,unknown
10.993559,49.571714,unknown
10.788976,49.286827,offline
12.856180,47.719058,offline
11.920712,50.309814,offline
10.961113,50.264736,offline
10.961126,50.264679,offline
10.961212,50.264717,offline
10.522011,50.137372,unknown
9.911240,49.793022,unknown
10.532133,50.121706,offline
9.911216,49.793065,unknown
10.989276,49.566912,unknown
10.882714,49.567824,unknown
10.417507,49.501351,unknown
12.876530,47.719331,offline
11.504769,50.015039,offline
11.920552,50.309804,offline
12.876685,47.719352,offline
11.920657,50.309832,offline
11.037655,49.436696,unknown
10.928628,49.487818,offline
10.862520,49.466480,offline
10.970516,49.483072,offline
10.985384,49.461922,offline
12.875139,47.726595,offline
11.920662,50.309727,offline
9.063665,50.000543,offline
11.092141,49.442505,unknown
11.920510,50.309784,offline
11.920698,50.309767,offline
12.875386,47.726432,offline
11.035052,49.591197,offline
10.987194,49.466779,offline
11.006825,49.589743,offline
11.916872,50.321122,unknown
11.222889,49.088226,offline
11.060126,49.445556,unknown
11.006780,49.589737,offline
10.532584,50.122269,offline
11.544093,49.950430,offline
12.877645,47.724412,offline
12.875267,47.722320,offline
12.536847,47.896881,offline
10.892891,49.901734,offline
11.034815,49.591138,offline
11.543986,49.950399,offline
9.063855,50.000205,offline
10.520334,50.035783,offline
11.495819,50.010280,offline
10.532606,50.122273,offline
10.828609,49.910265,offline
10.509678,50.031500,offline
11.003145,49.596533,offline
12.876127,47.722416,offline
12.876697,47.722391,offline
12.875267,47.726502,offline
9.973182,49.772862,offline
10.775375,49.753544,offline
12.876486,47.722398,offline
10.975685,50.249875,offline
10.877489,49.464505,offline
9.214525,49.807541,offline
10.984582,49.495361,offline
12.841281,47.811387,offline
12.856177,47.719050,offline
9.957237,49.742232,offline
10.512596,50.036752,offline
10.981525,49.477825,offline
10.160924,50.536065,offline
10.078261,49.139316,offline
